Name,Link,Longitude,Latitude,Company,Funder,Incubator/accelerator,University/RTO
Chelsea Technologies Group,Not given,-0.379617,51.397467,0,0,0,1
Christie Hospital NHS Trust,Not given,-2.230047,53.429526,0,0,0,1
Chromacity Ltd.,Not given,-3.319294,55.910034,0,0,0,1
Cisco International Limited,Not given,-3.175956,51.475248,0,0,0,1
Cisco Systems UK,Not given,-0.446971,51.44746,0,0,0,1
City University London,http://www.city.ac.uk/,-0.100773,51.527195,0,0,0,1
City of Edinburgh Council,Not given,-3.183932,55.95175,0,0,0,1
City of York Council,http://www.york.gov.uk/,-1.085535,53.959675,0,0,0,1
Cockcroft Institute,Not given,-2.641206,53.343404,0,0,0,1
Codeplay Software Ltd,Not given,-3.189609,55.956198,0,0,0,1
Cognizant Technology Solutions,Not given,-0.132496,51.509632,0,0,0,1
Coherent Scotland Ltd,Not given,-4.311993,55.902522,0,0,0,1
Compound Semiconductor Centre,http://www.compoundsemiconductorcentre.com/,-3.087979,51.53093,0,0,0,1
Compound Semiconductor Tech Global Ltd,Not given,-4.093633,55.779066,0,0,0,1
Connected Digital Economy Catapult,http://cde.catapult.org.uk,-0.133597,51.527496,0,0,0,1
Corin Group PLC,Not given,-1.961172,51.701291,0,0,0,1
Costain Ltd,Not given,-0.745178,51.511445,0,0,0,1
Coventry University,http://www.coventry.ac.uk/,-1.505094,52.408356,0,0,0,1
Covesion Ltd,Not given,-1.462994,50.982618,0,0,0,1
Crafts Council,https://www.craftscouncil.org.uk/,-0.108544,51.532098,0,0,0,1
Croda,Not given,-2.769918,53.3528,0,0,0,1
Cummins Turbo Technologies,https://www.cummins.com/components/turbochargers,-1.771474,53.647684,0,0,0,1
DEMOS,https://www.demos.co.uk,-0.081111,51.503666,0,0,0,1
DairyCo,Not given,-1.987318,51.71073,0,0,0,1
Dassault Systemes Simulia Ltd.,Not given,-1.559768,52.385063,0,0,0,1
Defence Science & Tech Lab DSTL,Not given,-1.702412,51.133725,0,0,0,1
Delcam International plc,Not given,-1.845078,52.463221,0,0,0,1
Department for Communities and Local Gov,Not given,-0.129826,51.49588,0,0,0,1
Department for Transport,Not given,-0.129821,51.49451,0,0,0,1
Department of Energy and Climate Change,Not given,-0.126181,51.506005,0,0,0,1
Depuy Synthes,http://www.depuysynthes.com/,-1.569394,53.770001,0,0,0,1
Deregallera Ltd,Not given,-3.227624,51.589265,0,0,0,1
Digital Catapult,https://digicatapult.org.uk/,-0.12687,51.528581,0,0,0,1
Doosan Babcock Power Systems,Not given,-4.407618,55.870051,0,0,0,1
Dwr Cymru Welsh Water,http://www.dwrcymru.com/,-3.297695,51.65239,0,0,0,1
Dynex Semiconductor Ltd,Not given,-0.611189,53.205965,0,0,0,1
E ON Central Networks plc,Not given,-0.142387,51.494054,0,0,0,1
E.On UK Plc,Not given,-1.585682,52.388364,0,0,0,1
EADS Airbus,Not given,-0.119408,51.510986,0,0,0,1
EADS Astrium,Not given,-1.053156,50.829875,0,0,0,1
EBLEX,Not given,-1.527117,52.339932,0,0,0,1
ECMWF,http://www.ecmwf.int,-0.951483,51.41886,0,0,0,1
EDF Energy Plc,Not given,-0.137044,51.52233,0,0,0,1
EMBL - European Bioinformatics Institute,Not given,0.186853,52.078958,0,0,0,1
EPSRC,Not given,-1.785518,51.566922,0,0,0,1
ESRC,Not given,-1.784755,51.566728,0,0,0,1
EURATOM/CCFE,Not given,-1.228684,51.65776,0,0,0,1
Earlham Institute,http://www.earlham.ac.uk,1.222429,52.621871,0,0,0,1
Edge Hill University,https://www.edgehill.ac.uk,-2.869519,53.558245,0,0,0,1
Edinburgh International Science Festival,Not given,-3.164844,55.973864,0,0,0,1
Edinburgh Napier University,http://www.napier.ac.uk,-3.239866,55.917998,0,0,0,1
Eight19 Ltd,Not given,0.091646,52.209796,0,0,0,1
Element Six Ltd (UK),Not given,-0.70154,51.403715,0,0,0,1
English Heritage,Not given,-0.090669,51.510621,0,0,0,1
Environment Agency,http://environment-agency.gov.uk/,-2.574038,51.538702,0,0,0,1
Epigem Ltd,Not given,-1.090535,54.591174,0,0,0,1
Essex County Council,http://www.essex.gov.uk/Pages/Default.aspx,0.500602,51.742492,0,0,0,1
European Marine Energy Centre,Not given,-3.301297,58.963531,0,0,0,1
European Thermodynamics Ltd,Not given,-1.008906,52.544984,0,0,0,1
Experian,https://www.experian.com/,-1.161421,52.941136,0,0,0,1
Facebook UK,Not given,-0.125976,51.513758,0,0,0,1
Falmouth University,http://www.falmouth.ac.uk/,-4.906259,50.271548,0,0,0,1
Fianium Ltd,Not given,-1.327885,50.856438,0,0,0,1
Foreign and Commonwealth Office,Not given,-0.127793,51.502731,0,0,0,1
Forensic Science Service Ltd,Not given,-1.720434,52.4679,0,0,0,1
Foster and Partners,http://www.fosterandpartners.com,-0.169863,51.479629,0,0,0,1
Fraunhofer UK Research Ltd,Not given,-4.24789,55.862701,0,0,0,1
Fujitsu,http://www.fujitsu.com,-0.155221,51.517707,0,0,0,1
Future Cities Catapult,https://futurecities.catapult.org.uk/,-0.08431,51.500087,0,0,0,1
GE (General Electric Company) UK,Not given,-0.219224,51.490672,0,0,0,1
GE Aviation,http://www.geaviation.com,-1.332408,50.863028,0,0,0,1
GE Healthcare,http://www.gehealthcare.com,-0.563974,51.667915,0,0,0,1
GE Healthcare Limited,Not given,-3.250891,51.523227,0,0,0,1
GKN Aerospace,https://www.gknaerospace.com/,-1.272949,50.742756,0,0,0,1
Garrad Hassan & Partners Ltd,Not given,-2.572622,51.449905,0,0,0,1
Glasgow Caledonian University,http://www.gcu.ac.uk/,-4.249084,55.86596,0,0,0,1
Glasgow School of Art,http://www.gsa.ac.uk,-4.263744,55.866054,0,0,0,1
Glass Futures Ltd,Not given,-1.473781,53.474089,0,0,0,1
