Name	Link	Latitude	Longitude	Company	Funder	Incubator/accelerator	University/RTO	Sector 1	Sector 2	Sector 3	Sector 4	Sector 5	Sector 6	Sector 7	Sector 8	Sector 9	Sector 10	Sector 11
Par Equity	parequity.com	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Abingworth	abingworth.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Longbow Capital	longbow.co.uk	52.628606	1.29227	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seneca Partners	senecapartners.co.uk	53.467195	-2.661806	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Piton Capital	pitoncap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GM&C Life Sciences Fund	gmclifesciencesfund.com	53.305836	-2.237578	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Baillie Gifford	bailliegifford.com	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BACKED VC	backed.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Angels 5K	angels5k.org.uk	51.061277	-1.313169	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedcamp	seedcamp.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hygea VCT	hygeavct.com	52.029761	-1.148458	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrée Capital	entreecap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hambro Perks Ltd.	hambroperks.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxford Investment Consultants LLP	oxfordinvestmentconsultants.com	51.752013	-1.25785	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
24 Haymarket	24haymarket.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Greyhound Capital	greyhoundcapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft Accelerator London	microsoftaccelerator.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Boundary Capital Partners LLP	boundarycapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L Marks	lmarks.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Helios Investment Partners	heliosinvestment.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Global Innovation Fund	globalinnovation.fund	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mustard Seed	mustardseed.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
