Name	Link	Latitude	Longitude	Company	Funder	Incubator / accelerator	University / RTO	Sector 1	Sector 2	Sector 3	Sector 4	Sector 5	Sector 6	Sector 7	Sector 8	Sector 9	Sector 10	Sector 11
[AI] Infiniti	https://aiinfiniti.com/	51.374948	-0.089973	1
@33	http://www.my33.co	51.236902	-0.58042	1
15gifts Ltd	http://15gifts.com/	50.824166	-0.145108	1
1859 Cloud	https://1859cloud.com/	51.506993	-0.143563	1
2Dsearch	https://www.2dsearch.com	51.246423	-0.590407	1
360WORK	https://360work.com	51.70743	-0.441084	1
3AI	http://www.3ai.co	51.50719	-0.131624	1
3Blocks	http://www.3blocks.co	51.516947	-0.104733	1
3M Buckley Innovation Centre (3MBIC)	http://www.3mbic.com	53.640103	-1.778486	1		1.0
4dface	https://www.4dface.io	51.502709	0.045392	1
4Sight Imaging	https://www.4sightimaging.com/	53.581113	-2.431967	1
4th Office	http://4thoffice.com	51.514124	-0.198357	1
5ire	https://5ire.org	51.527304	-0.088894	1
7 GEN ANALYTICS	http://www.7genanalytics.com	51.524419	-0.099539	1
7bridges	https://www.the7bridges.com/	51.513055	-0.133416	1
9fin	http://9fin.com	51.530785	-0.093391	1
A-dapt	http://a-dapt.com	51.524057	-0.084602	1
A-lead	https://a-lead.ai	51.522487	-0.325165	1
ABAKA	https://abaka.me/	51.495014	-0.145779	1
AbleAI	http://ableai.co.uk	53.408364	-2.994388	1
Above Surveying	http://www.abovesurveying.com	51.880727	0.942423	1
absurdia	https://absurdia.eu	51.514897	-0.123615	1
Abtrace	https://www.abtrace.co	51.519362	-0.175784	1
Academy Of Robotics	http://academyofrobotics.co.uk	51.483649	-3.191783	1
Accelerator	http://www.elevatoruk.com/	57.187553	-2.083208	1		1.0
Accelerator Academy	http://acceleratoracademy.com/	51.503607	-0.091122	1		1.0
Accelex	http://accelextech.com	51.514972	-0.079492	1
Accessible Intelligence	https://accessibleintelligence.io/	51.372675	-0.47478	1
Accunea	http://www.accunea.com	52.384471	-2.234298	1
Accuro Transcription Solutions	http://www.accuro.co.uk	53.30682	-2.375466	1
Acensys	http://acensys.com	51.514145	-0.182171	1
Acolyte Resource Group	https://www.acolytegroup.co.uk/	51.501799	-0.094411	1
Acronotics Limited	http://www.acronotics.com	51.302753	-0.060934	1
Acrotrend Solutions	https://acrotrend.com/	51.493807	-0.127532	1
Action.ai	http://action.ai/	51.510761	-0.136723	1
Active OMG | MeetAmi	https://www.meetami.ai/#1	51.515375	-0.139619	1
ACTUISE	http://www.actuise.com	51.530785	-0.093391	1
Acuiti Labs	https://www.acuitilabs.com/	51.517402	-0.101673	1
Acuity Robotics	http://acuityrobotics.co.uk	53.807958	-1.553329	1
Acuity Trading	http://www.acuitytrading.com	51.525615	-0.083628	1
Acutro	http://www.acutro.co.uk	51.632696	-0.099001	1
Acuvate	https://acuvate.com	51.522912	-0.650179	1
ACVERA	https://www.acvera.com	51.527304	-0.088894	1
Ad-Lib Digital	http://ad-lib.io	51.517236	-0.11984	1
Ada Mode	http://www.ada-mode.com	51.46377	-2.60996	1
Adanian Labs UK	https://adalab.co.uk/	53.471322	-2.294541	1
Adaptive Reasoning	http://www.adaptivereasoning.com	51.796115	-0.058984	1
Adarga	https://www.adarga.ai	51.503603	-0.099753	1
AddaptiveCX	http://addaptivecx.com	51.501009	-0.141588	1
Additive Flow	http://additiveflow.com	51.516949	-0.083805	1
Additive Manufacturing Technologies	http://amtechnologies.co.uk/	53.395679	-1.393737	1
adDryer.com	https://www.addryer.com/	51.504962	-0.087651	1
Adiona Insurance	http://www.adiona.com	51.514177	-0.093577	1
Adnow	https://adnow.com/	51.518053	-0.133763	1
Adoop	http://adoop.co.uk	51.937989	-0.276676	1
Adoreboard	http://www.adoreboard.com	54.59852	-5.932921	1
Adthena	https://www.adthena.com/	51.511807	-0.081729	1
Advai	http://www.advai.co.uk	51.530785	-0.093391	1
Advanced Finance	http://www.advanced-finance.com	51.059331	-1.319004	1
Advanced Logic Analytics Ltd	http://www.advancedlogicanalytics.com	51.516949	-0.083805	1
Advanced Wireless Technology Group	https://awtg.co.uk/	51.503838	-0.255396	1
Advancing Analytics	http://www.advancinganalytics.co.uk	51.524388	-0.082296	1
Advantra Wealth	http://advantrawealth.com	51.500066	-0.018077	1
Adverttu	http://www.adverttu.com	51.504661	-0.094468	1
Advisory Direct	https://www.advisorydirect.co.uk	55.958374	-3.202282	1
Advizzo	http://www.advizzo.com/	51.49671	-0.062654	1
Aegasis Labs	http://www.aegasislabs.com	51.523112	-0.077938	1
AEMS	https://myaems.com/	51.67199	0.101664	1
aems.ai	http://www.aems.ai	52.199905	0.1218	1
AeroCloud	http://aerocloudsystems.com	53.326486	-2.235724	1
Aesthetic Integration	http://www.imandra.ai	51.517943	-0.090177	1
Aeterno AI	https://aeternoai.com	51.382684	-2.361826	1
Affine Group	http://www.affineglobal.com	51.519348	-0.089631	1
AgenaRisk	https://agenarisk.com	52.195193	-0.028743	1
Agile Automations	https://agileautomations.co.uk	53.483375	-2.247865	1
AgnosPCB	http://agnospcb.com	55.958374	-3.202282	1
AgribotAI	https://crop.ai/	51.52255	-0.087464	1
Agrolabs	http://agrolabs.io	51.532292	-0.062962	1
Agxio	http://agxio.com	52.434766	-4.009343	1
ah! media	http://www.ahmediauk.com	51.131857	-0.176542	1
Ai Abacus	http://www.ai-abacus.co.uk	53.797424	-1.551442	1
Ai Alfred	http://aialfred.co.uk	53.472608	-2.224496	1
AI and Games	http://www.aiandgames.com	51.996263	-0.224965	1
